id,matched_word,snippet,confirmed_flag,note
2089443391549723127,Stri,e Palestinian issue and the situation in the Gaza [[Stri]]p. The two ministers emphasized the importance of ,False,substring artifact ('Gaza Strip')
2089418308718068027,pot., &amp; now it is the USA’s fault for stirring the [[pot.]],False,idiom ('stirring the pot')
2089383265715036421,Nazi,"it's because he sees it as anti-#Iran, not. anti-#[[Nazi]] #Israel, as it should be. As for NK, Xi &amp; Put",True,"inflammatory political label ('Nazi'), not an accidental match"
2089316914975961347,  BY;  COR; BAST; D  A; E CO; F BA; HAT ; HIMA; NSKY; VE C,"U [[BAST]]ARD  BRITAIN....U MOTHER FUCKKER  ""MECCA PACT"".... | AINST IRAN OR ANY  COUNTRY  OF THE WORLD, CORRUPTE[[D  A]]SS OF BASTARD BRITAIN LOOTER TERRORIST LONDON WILL",True,"explicit vulgar harassment ('bastard', 'motherf***er') aimed at a country"
2089222835944468684,BAST; UR B,U [[BAST]]ARD  BRITAIN...U TRAITOR  RAHUL GANDHI OF RUSSIA.. | RD  BRITAIN...U TRAITOR  RAHUL GANDHI OF RUSSIA...[[UR B]]ASTARD  BRITAIN  IS BURDEN  ON PLANET  EARTH....WO,True,explicit vulgar harassment aimed at a named individual
2089182048032326046," Jac;  Psa;  and; .

T; . An; God’; cide; d an; eapo; nes.; od t; ttps; vern","tead, we’re invited to rest in the reliability of [[God’]]s Word and to live with confidence in the One who  |   The word and the walk will identify a child of G[[od t]]oday. The clean one, if you please. And today, wha",False,religious reference ('God's Word')
2089154536766406761,kill,sign a Madina pact soon. Religious places name to [[kill]] each other. Hmmm.,False,"real word ('kill'), not profanity/slur"
2089066265163845989,n sh; stup,rom Saudi is chickenshit and until he learns only [[stup]]id countries doesn’t strike back then he emboldens | eep striking him  I have no respect for the chicke[[n sh]]it Mecca Pact. Rogan of Turkey has done very littl,True,vulgar insult toward a public figure ('chickenshit')
2089063238793130077,God ,"in Iran, just like it did Iraq and Syria.  Thanks [[God ]]that there is No Al Qaeda in Iran but neither Ayat",False,idiom ('Thanks God')
2089023931646914945,ass-,eople and soldiers of Pakistan don't support this [[ass-]]licking agreement for Israel's benefit,True,vulgar phrase ('ass-licking') as political insult
2088977738870763929,Aria,"3/ OPINION: Sami el-[[Aria]]n, Director of the Center for Islam and Global Pea",False,name substring (commentator Sami al-Arian)
2088885421061423505,BAST; ED A,"@Nasreen_007 @IRIMFA_EN U PAKISTAN, SCENE OF [[BAST]]ARD BRITAIN, U MOTHER FUCKKER' MECCA PACT""...👹 STO | , NDIA RUSSIA AND NORTH KOREA OTHERWISE UR CORRUPT[[ED A]]SS OF ISLAMABAD AND LONDON WILL BE FRACTURED😡",True,explicit vulgar harassment aimed at a named individual
2088806230785773688,hell,"are going to solve it, we are solving it, get the [[hell]] out of here. We don’t need you to meddle. Very cl | ican empire come to the right decision to get the [[hell]] out of the region, that will be the beginning of ",False,idiom ('get the hell out')
2088736593674977709,Shit,...  He's a ConMan...  No one is falling for this [[Shit]] piece...,True,mild vulgar language ('shit')
2088552609837719626,hard,"9/10. Turkey clapped back [[hard]]. On August 7, 2026, Turkey, Saudi Arabia and Paki",False,innocuous phrase ('clapped back hard')
2088517365709574218, JER; MORO,"@JinnahMasala @Zohaib_Author A [[MORO]]N MODI JI lives in India. Did he follow you to an  | Israel, its eyes are still rolling with the sudden[[ JER]]K, Saudi Arab+Pakistan+Turkiye Mecca Defence Pact.",True,insult targeting a named public figure ('MORON')
2088472536032170300,God!,d will generate potential benefits for India - My [[God!]] So much spin! Even Shane Warne didn't spin this m,False,exclamation ('My God!')
2088472355358286209,God!,d will generate potential benefits for India - My [[God!]] So much spin! Even Shane Warne didn't spin this m,False,exclamation ('My God!') - near-duplicate of the row above
2088304607915098550,Enla,"ut your mandate.  The Austrian Committee for NATO [[Enla]]rgement is a private association. NATO, Austria an",False,substring artifact ('NATO Enlargement')
2088251803372765587,Stup,basis for... A joint attack... Under MECCA PACT   [[Stup]]id Boomers,True,mild insult ('Stupid Boomers')
2088130052521091461,murd,"rate corruption in pursuit of profits, leading to [[murd]]er that goes unpunished.",False,"real word ('murder'), not profanity"
2087991204894105741,bitc,d capability to reach his country. Pakistan is US [[bitc]]h so they won't do anything that hurt USA best fri,True,derogatory/vulgar term describing a country ('bitch')
